time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/value_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/policy_gradient_loss
2290,-148.57107104761903,0,95.80952380952381,1,2048,,,,,,,,,,
1751,-160.56818149999998,2,88.76086956521739,2,4096,2064.585792160034,0.2,-1.3814496386796236,0.03779296875,570.4763793945312,0.0018068552017211914,0.009100564,10,0.0003,-0.005901758446998429
1630,-158.14895538235294,3,89.97058823529412,3,6144,1728.7851829528809,0.2,-1.3674776028841733,0.0158203125,1199.727294921875,-0.013142704963684082,0.0061797276,20,0.0003,-0.006163350696442649
1576,-159.2626279347826,5,88.97826086956522,4,8192,1235.9749293327332,0.2,-1.3676836539059878,0.036181640625,602.996337890625,-0.010676264762878418,0.008777615,30,0.0003,-0.00808407173753949
1547,-156.65686127,6,89.63,5,10240,849.3663591384887,0.2,-1.3605402987450361,0.091845703125,211.78529357910156,-0.003804326057434082,0.009118856,40,0.0003,-0.01165854781429516
1527,-160.82122088,8,93.48,6,12288,427.72819418907164,0.2,-1.3512564305216075,0.096875,173.83935546875,-0.0005468130111694336,0.009398014,50,0.0003,-0.010049822455039248
1511,-161.18742537000003,9,96.44,7,14336,491.83458027839663,0.2,-1.3320010159164668,0.106884765625,234.95538330078125,-0.0024422407150268555,0.010065112,60,0.0003,-0.00853285439661704
1497,-161.62492039,10,100.11,8,16384,977.5961452484131,0.2,-1.3089688397943973,0.0146484375,458.3962097167969,-0.0032848119735717773,0.0045324173,70,0.0003,-0.006604683607292827
1479,-160.50004384,12,106.4,9,18432,562.1948466777801,0.2,-1.2812518388032914,0.108544921875,168.6406707763672,-0.002267599105834961,0.007892507,80,0.0003,-0.0060146155126858504
1471,-156.26391889000004,13,108.8,10,20480,725.0296064376831,0.2,-1.280783848464489,0.0408203125,325.07562255859375,0.0012055039405822754,0.007750927,90,0.0003,-0.01086354322033003
1461,-151.49224395,15,116.32,11,22528,702.346907377243,0.2,-1.2419531870633365,0.054638671875,291.5602722167969,-0.012194633483886719,0.010557203,100,0.0003,-0.00784348465022049
1453,-149.69340784,16,123.32,12,24576,551.2030409812927,0.2,-1.2251417271792888,0.058154296875,354.1940612792969,-0.0007650852203369141,0.0081879,110,0.0003,-0.008176396430644672
1442,-146.94760214999997,18,131.88,13,26624,410.95411081314086,0.2,-1.1953201182186604,0.024853515625,194.19549560546875,0.0015353560447692871,0.008837698,120,0.0003,-0.006712466276076157
1352,-144.23137671,21,143.37,14,28672,667.5221507072449,0.2,-1.1984300184994936,0.043212890625,265.09332275390625,0.03868377208709717,0.010834949,130,0.0003,-0.008856012704200111
1335,-140.83428011999996,23,148.58,15,30720,333.0576985836029,0.2,-1.2430483389645814,0.01123046875,66.71546173095703,0.0035561323165893555,0.00708839,140,0.0003,-0.004254505537392106
1318,-137.85549745000003,24,155.25,16,32768,455.65036396980287,0.2,-1.164427525922656,0.031201171875,162.2471466064453,0.041260480880737305,0.009899786,150,0.0003,-0.004310376320790965
1300,-138.65967265,26,161.5,17,34816,346.9966579198837,0.2,-1.1365981597453356,0.0337890625,421.0621032714844,0.08897531032562256,0.006471698,160,0.0003,-0.009391879173927009
1270,-135.74261642,29,169.97,18,36864,516.4129829406738,0.2,-1.1134656872600317,0.02177734375,338.80462646484375,0.08689016103744507,0.005956633,170,0.0003,-0.004959492367197527
1229,-130.32332307000001,31,187.16,19,38912,526.4801490306854,0.2,-1.116997754946351,0.028564453125,142.40126037597656,0.10653471946716309,0.0067197876,180,0.0003,-0.006632159856962971
